lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category
49.01794267,125.4920997,DSA,15.97159958,1.9610233194043343,10%,200.0,gb50011,0.767011057328048,4.191725969134368,1.6,amplification_sensitivity,Low
49.00901204,125.5585363,DSA,15.97159958,1.8926305640200374,10%,200.0,gb50011,0.7525567997061691,3.9878405472231764,1.6,amplification_sensitivity,Low
49.00005109,125.6249543,DSA,15.97159958,1.8321362103318626,10%,200.0,gb50011,0.7421454473442617,3.803544955532439,1.6,amplification_sensitivity,Low
48.99105982,125.6913536,DSA,15.97159958,1.7821147756763913,10%,200.0,gb50011,0.7407549583362915,3.639124321694152,1.6,amplification_sensitivity,Low
48.98203824,125.7577342,DSA,15.97159958,1.7337845844531745,10%,200.0,gb50011,0.7324192706162138,3.4919164971502252,1.6,amplification_sensitivity,Low
48.97298636,125.8240959,DSA,15.97159958,2.110926755095541,10%,200.0,gb50011,0.7282621577875827,4.755985587339165,1.6,amplification_sensitivity,Low
48.96390419,125.8904388,DSA,15.97159958,1.2773448861401446,10%,200.0,gb50011,0.7267914656131145,1.9798305111119578,1.6,amplification_sensitivity,Low
48.95479173,125.9567627,DSA,15.97159958,1.2830532537226038,10%,200.0,gb50011,0.7337172230873074,1.987315473929834,1.6,amplification_sensitivity,Low
48.945649,126.0230676,DSA,15.97159958,1.2952223811656385,10%,200.0,gb50011,0.7535498967761801,1.994824775925161,1.6,amplification_sensitivity,Low
48.936476,126.0893536,DSA,15.97159958,1.2985066659243587,10%,200.0,gb50011,0.7556007549383893,2.002354294850547,1.6,amplification_sensitivity,Low
48.99199618,125.3457123,DSA,15.97159958,2.1106144559663624,10%,200.0,gb50011,0.8182902459750517,4.604897776596123,1.6,amplification_sensitivity,Low
48.98313058,125.4121424,DSA,15.97159958,2.023747316379774,10%,200.0,gb50011,0.8005847315212828,4.344849835397109,1.6,amplification_sensitivity,Low
48.97423465,125.4785539,DSA,15.97159958,1.9395438190794392,10%,200.0,gb50011,0.784409208022464,4.091130716894024,1.6,amplification_sensitivity,Low
48.9653084,125.544947,DSA,15.97159958,1.8649918605903129,10%,200.0,gb50011,0.7658510040996334,3.873554528468321,1.6,amplification_sensitivity,Low
48.95635183,125.6113214,DSA,15.97159958,1.8064010200648037,10%,200.0,gb50011,0.7593731577246053,3.68904813734167,1.6,amplification_sensitivity,Low
48.94736496,125.6776771,DSA,15.97159958,1.754260261098697,10%,200.0,gb50011,0.7504450402418428,3.5301258032592524,1.6,amplification_sensitivity,Low
48.93834778,125.7440141,DSA,15.97159958,1.7033572163318558,10%,200.0,gb50011,0.7324192706162138,3.39049193674583,1.6,amplification_sensitivity,Low
48.92930033,125.8103324,DSA,15.97159958,2.1619807282133054,10%,200.0,gb50011,0.7408760642555244,4.905142320285144,1.6,amplification_sensitivity,Low
48.92022259,125.8766318,DSA,15.97159958,1.2923684389161068,10%,200.0,gb50011,0.7348719108913506,2.016441611568105,1.6,amplification_sensitivity,Low
48.91111459,125.9429123,DSA,15.97159958,1.3057275759691496,10%,200.0,gb50011,0.7570183499979478,2.024061336567252,1.6,amplification_sensitivity,Low
48.90197632,126.0091739,DSA,15.97159958,1.3048212693938663,10%,200.0,gb50011,0.7506182676612521,2.031707118544134,1.6,amplification_sensitivity,Low
48.89280781,126.0754165,DSA,15.97159958,1.316524946886203,10%,200.0,gb50011,0.7694262090453543,2.039372807878419,1.6,amplification_sensitivity,Low
48.88360906,126.14164,DSA,15.97159958,1.3296977528490346,10%,200.0,gb50011,0.7911592991317467,2.047060344277204,1.6,amplification_sensitivity,Low
48.87438008,126.2078444,DSA,15.97159958,1.3399399134031107,10%,200.0,gb50011,0.8070177032718734,2.0547702058905797,1.6,amplification_sensitivity,Low
48.86512088,126.2740297,DSA,15.97159958,1.3614683265872436,10%,200.0,gb50011,0.8454341536436332,2.0625041658847567,1.6,amplification_sensitivity,Low
48.96590118,125.1994444,DSA,15.97159958,2.0353081545299503,10%,200.0,gb50011,0.8657000355285605,4.274860455885568,1.6,amplification_sensitivity,Low
48.95710058,125.2658676,DSA,15.97159958,2.1979002228129394,10%,200.0,gb50011,0.8657000355285605,4.816834016828863,1.6,amplification_sensitivity,Low
48.94826965,125.3322724,DSA,15.97159958,2.0987103211462834,10%,200.0,gb50011,0.8452161211952205,4.520340868495579,1.6,amplification_sensitivity,Low
48.93940839,125.3986588,DSA,15.97159958,1.9813607932344341,10%,200.0,gb50011,0.8219559668154139,4.167942699422424,1.6,amplification_sensitivity,Low
48.93051681,125.4650268,DSA,15.97159958,1.891252794776376,10%,200.0,gb50011,0.8026855511678993,3.8997000639747545,1.6,amplification_sensitivity,Low
48.92159492,125.5313762,DSA,15.97159958,1.819235203923659,10%,200.0,gb50011,0.7823993223910886,3.693451809093715,1.6,amplification_sensitivity,Low
48.91264274,125.5977071,DSA,15.97159958,1.763923025580212,10%,200.0,gb50011,0.7719275564430981,3.5265308245288765,1.6,amplification_sensitivity,Low
48.90366026,125.6640193,DSA,15.97159958,1.7107964576196153,10%,200.0,gb50011,0.7504450402418428,3.3852464583289796,1.6,amplification_sensitivity,Low
48.8946475,125.7303129,DSA,15.97159958,2.159898481811668,10%,200.0,gb50011,0.749466088398144,4.883884792041988,1.6,amplification_sensitivity,Low
48.88560446,125.7965877,DSA,15.97159958,2.2125836426102174,10%,200.0,gb50011,0.7456469295361225,5.065867259473854,1.6,amplification_sensitivity,Low
48.87653117,125.8628437,DSA,15.97159958,1.308149292169749,10%,200.0,gb50011,0.744072342703802,2.05371040272616,1.6,amplification_sensitivity,Low
48.86742762,125.9290808,DSA,15.97159958,1.3196246728166157,10%,200.0,gb50011,0.7623689631456867,2.0614673041459075,1.6,amplification_sensitivity,Low
48.85829382,125.9952991,DSA,15.97159958,1.3192164168702611,10%,200.0,gb50011,0.7568817051170693,2.0692518810390883,1.6,amplification_sensitivity,Low
48.8491298,126.0614984,DSA,15.97159958,1.340245323368174,10%,200.0,gb50011,0.7942569783857789,2.0770561139176147,1.6,amplification_sensitivity,Low
48.83993554,126.1276787,DSA,15.97159958,1.3473111849391841,10%,200.0,gb50011,0.8036913997288887,2.0848849502491325,1.6,amplification_sensitivity,Low
48.83071107,126.1938399,DSA,15.97159958,1.3641349648587895,10%,200.0,gb50011,0.8326283451641341,2.092735974255741,1.6,amplification_sensitivity,Low
48.8214564,126.2599821,DSA,15.97159958,1.3786176485665318,10%,200.0,gb50011,0.8568683568589435,2.1006115671235333,1.6,amplification_sensitivity,Low
48.81217152,126.326105,DSA,15.97159958,1.397065424485582,10%,200.0,gb50011,0.889025690171755,2.1085085979990152,1.6,amplification_sensitivity,Low
48.93092218,125.1197124,DSA,9.82865143,1.4995959827115224,10%,200.0,gb50011,0.9157235683752042,2.405780661746401,1.6,amplification_sensitivity,Low
48.92215622,125.1861102,DSA,15.97159958,1.8603747931338759,10%,200.0,gb50011,0.89550674213805,3.642071406882837,1.6,amplification_sensitivity,Low
48.91335993,125.2524897,DSA,15.97159958,2.1898305649070577,10%,200.0,gb50011,0.8691167155926527,4.784240690369105,1.6,amplification_sensitivity,Low
48.90453332,125.3188509,DSA,15.97159958,1.9950378574240324,10%,200.0,gb50011,0.8691167155926527,4.134931665425687,1.6,amplification_sensitivity,Low
48.8956764,125.3851938,DSA,15.97159958,1.8803229617596173,10%,200.0,gb50011,0.8403462387824422,3.8004994745613208,1.6,amplification_sensitivity,Low
48.88678917,125.4515181,DSA,15.97159958,1.8066386443714764,10%,200.0,gb50011,0.817261750950211,3.593359229654569,1.6,amplification_sensitivity,Low
48.87787165,125.5178241,DSA,15.97159958,1.7517016832567374,10%,200.0,gb50011,0.799473664162542,3.439882837251554,1.6,amplification_sensitivity,Low
48.86892384,125.5841114,DSA,15.97159958,1.7076689851324216,10%,200.0,gb50011,0.7869454656590035,3.313987507676399,1.6,amplification_sensitivity,Low
48.85994576,125.6503802,DSA,15.97159958,2.1286185008464455,10%,200.0,gb50011,0.7577513965132143,4.765809341966127,1.6,amplification_sensitivity,Low
48.85093741,125.7166303,DSA,15.97159958,2.2166084341988723,10%,200.0,gb50011,0.7621038956917371,5.051854954510012,1.6,amplification_sensitivity,Low
48.8418988,125.7828618,DSA,15.97159958,2.270233208816126,10%,200.0,gb50011,0.75670171835529,5.23960783212827,1.6,amplification_sensitivity,Low
48.83282994,125.8490744,DSA,15.97159958,1.3325493426765769,10%,200.0,gb50011,0.7701097123794789,2.0916482882894583,1.6,amplification_sensitivity,Low
48.82373085,125.9152683,DSA,15.97159958,1.335823875894793,10%,200.0,gb50011,0.7719191249836581,2.099547711343213,1.6,amplification_sensitivity,Low
48.81460152,125.9814433,DSA,15.97159958,1.3454949897929898,10%,200.0,gb50011,0.7865064737353125,2.1074725097511116,1.6,amplification_sensitivity,Low
48.80544198,126.0475994,DSA,15.97159958,1.3564821903339939,10%,200.0,gb50011,0.8037117468034374,2.115421056440917,1.6,amplification_sensitivity,Low
48.79625222,126.1137365,DSA,15.97159958,1.360243903316397,10%,200.0,gb50011,0.8064525187516449,2.1233921464685817,1.6,amplification_sensitivity,Low
48.78703227,126.1798546,DSA,15.97159958,1.381599401878508,10%,200.0,gb50011,0.8443676823449281,2.1313852023534796,1.6,amplification_sensitivity,Low
48.77778212,126.2459536,DSA,15.97159958,1.3961190717146978,10%,200.0,gb50011,0.8685964754749609,2.139402779924058,1.6,amplification_sensitivity,Low
48.76850179,126.3120334,DSA,15.97159958,1.4192324834578611,10%,200.0,gb50011,0.9099995335279264,2.14744238897966,1.6,amplification_sensitivity,Low
48.75919128,126.3780941,DSA,15.97159958,1.4417246908494457,10%,200.0,gb50011,0.949682719073955,2.15627777104156,1.6,amplification_sensitivity,Low
48.88716316,125.1064402,DSA,20.78039932,1.5225258845132863,10%,200.0,gb50011,0.9408729900005225,2.440297965043417,1.6,amplification_sensitivity,Low
48.87840149,125.1727943,DSA,15.97159958,1.521234015953764,10%,200.0,gb50011,0.9174307586212664,2.4750621221437696,1.6,amplification_sensitivity,Low
48.86960951,125.2391302,DSA,15.97159958,1.5883868298543147,10%,200.0,gb50011,0.8886386109619382,2.7468917479111523,1.6,amplification_sensitivity,Low
48.86078722,125.3054478,DSA,15.97159958,1.7078291399638568,10%,200.0,gb50011,0.8606514906765672,3.1916779820852437,1.6,amplification_sensitivity,Low
48.85193464,125.3717471,DSA,15.97159958,1.713708062363586,10%,200.0,gb50011,0.8606514906765672,3.2112743900843417,1.6,amplification_sensitivity,Low
48.84305176,125.438028,DSA,15.97159958,1.689658970730064,10%,200.0,gb50011,0.8351731038555475,3.1735747293409675,1.6,amplification_sensitivity,Low
48.83413861,125.5042904,DSA,15.97159958,1.663377339729122,10%,200.0,gb50011,0.8157031210174709,3.1184192640679553,1.6,amplification_sensitivity,Low
48.82519518,125.5705344,DSA,15.97159958,2.058128403290114,10%,200.0,gb50011,0.7869454656590035,4.482185568202041,1.6,amplification_sensitivity,Low
48.81622149,125.6367597,DSA,15.97159958,2.1878752120030454,10%,200.0,gb50011,0.7796768765098637,4.926789245827045,1.6,amplification_sensitivity,Low
48.80721755,125.7029665,DSA,15.97159958,2.280568089046551,10%,200.0,gb50011,0.7778257943245187,5.238850639614307,1.6,amplification_sensitivity,Low
48.79818337,125.7691546,DSA,15.97159958,2.3356988201153053,10%,200.0,gb50011,0.7748882424737512,5.427515662928098,1.6,amplification_sensitivity,Low
48.78911896,125.835324,DSA,15.97159958,1.3512235741336898,10%,200.0,gb50011,0.7842857327531643,2.130269025857025,1.6,amplification_sensitivity,Low
48.78002431,125.9014746,DSA,15.97159958,1.3462895636468455,10%,200.0,gb50011,0.7695903780984215,2.138314581992116,1.6,amplification_sensitivity,Low
