gate,facility,gas_x,gas_y,sink_x,sink_y,consumer_x,consumer_y,d_co2_km,d_h2_km,d_total_weighted,storage_type
gasfield,Beibuwan Basin,506072.6213433311,2642697.276236396,507253.10518672504,2643404.1590194725,521329.86713838996,2662600.582646003,1.3759452654536686,25.0783802364816,26454.32550193527,DSA
gasfield,Bohaiwan Basin,1141576.2204275755,4738094.955858079,1141530.0992838333,4737472.358960436,1132992.889676006,4780310.091383806,0.6243028566768327,43.07889546223755,43703.19831891438,DSA
gasfield,"Bohaiwan Basin,Bohaiwan Basin",1176355.4248735963,4776721.5160687715,1174343.0511869485,4778437.959181411,1166853.6509772814,4813635.315665163,2.6449621573172872,38.11708682230652,40762.0489796238,DSA
gasfield,"Bohaiwan Basin,Luxi Jiaoliao Uplift",1272814.4668436293,4793734.609494899,1272500.1211114933,4792784.7862544935,1345173.7295544255,4816258.292587681,1.0004885943014046,75.78376607238562,76784.25466668703,DSA
gasfield,East China Sea Basin,1640739.393111248,3377707.0855306964,1657534.5824114736,3390756.570484504,1668562.912084687,3332574.4556364766,21.268931359851262,53.01983109397788,74288.76245382914,DSA
gasfield,"East China Sea Basin,East China Sea Basin",1627853.9942116274,3266419.356127176,1689525.3321430017,3366687.784244553,1630928.2538788333,3266700.1684398553,117.71623337235783,3.087058155649323,120803.29152800716,DSA
gasfield,"East China Sea Basin,Taiwan Thrust and Fold Belt",1621320.3642792262,3241476.403322044,1689525.3321430017,3366687.784244553,1620966.0661812066,3241414.9103318546,142.58263412428738,0.3595949528326123,142942.22907712,DSA
gasfield,"East China Sea Basin,Taiwan Thrust and Fold Belt,East China Sea Basin",1632123.7613007685,3266267.087734093,1689525.3321430017,3366687.784244553,1631968.3969177883,3265942.5480784774,115.66873658340825,0.3598111720970901,116028.54775550534,DSA
gasfield,Erlian Basin,746061.4657254553,5273848.265089132,747690.556214437,5295533.2341236565,764926.3292271252,5275888.974521026,21.746075918417624,18.974919497116623,40720.99541553424,DSA
gasfield,Jianghan Basin,744849.0779824945,3773510.353760488,745669.5519502026,3772624.0260608313,746869.8948350231,3774783.367903379,1.2077890224973782,2.3883604751929566,3596.149497690335,DSA
gasfield,Junggar Basin,-1377957.955141925,5467772.111275385,-1376053.143519684,5469234.186971934,-1376998.739900993,5452726.996672983,2.4012439814942153,15.075661420907602,17476.90540240182,DSA
gasfield,"Kunlunshan Fold Belt,Qaidam Basin",-1168217.1851664532,4673400.82790402,-1168056.2422544374,4674863.701004342,-1169604.0551618668,4672751.189912203,1.4716998092590334,1.5314822573544098,3003.182066613443,DSA
gasfield,"Luxi Jiaoliao Uplift,Bohaiwan Basin",1213062.14875443,4595679.777210703,1211858.002075908,4601802.487569983,1212778.6361662475,4595444.887477309,6.239996103126199,0.36817465218517154,6608.170755311371,DSA
gasfield,Ordos Basin,287787.875714077,4531956.788333668,296486.4198843624,4538308.026272698,291004.8221316354,4536828.764373125,10.77046396589206,5.838227023889811,16608.69098978187,DSA
gasfield,Pearl River Mouth Basin,1049445.1257080024,2735332.4739308893,1049871.0581406653,2736151.84211863,994096.9479256148,2884687.5545781595,0.9234623242320092,159.28076123306093,160204.22355729295,DSA
gasfield,Qaidam Basin,-1028250.8761128335,4666812.8038849365,-1029640.0018562807,4667039.108536142,-1027243.2948109875,4665528.792549386,1.4074388534728621,1.6321474166424328,3039.5862701152946,DSA
gasfield,"Qilianshan Fold Belt,Qaidam Basin",-871983.0286045205,4648018.255094413,-875960.2113201126,4631689.49143706,-860218.2801692236,4638141.696667341,16.80614485629863,15.360849980036622,32166.994836335252,EOR
gasfield,Qiongdongnan Basin,603301.6213824945,2363086.9805908054,602033.5769048781,2364168.6807720903,569440.991656623,2399055.2916909405,1.666736955672692,49.39900453277043,51065.74148844312,DSA
gasfield,Sichuan Basin,82617.29938855508,3726502.945168229,83551.48154741079,3728542.25379631,83527.85987896088,3726213.276088416,2.2430951799893206,0.9555252913908608,3198.6204713801812,DSA
gasfield,"Sichuan Basin,Sichuan Basin",-62352.54994886159,3688989.289364883,-62863.975629298584,3686479.2497758134,-66813.66150694387,3686320.895295905,2.561611790515505,5.198253864617779,7759.865655133284,DSA
gasfield,Songliao Basin,1461122.453710126,5563496.817884643,1462078.738039028,5565528.216355241,1458758.7225115541,5562636.660687642,2.2452303810639065,2.5153718577287187,4760.602238792625,DSA
gasfield,"Songliao Basin,Songliao Basin",1452617.3335242725,5453539.345320983,1453929.4335331535,5453589.339895327,1457277.401411773,5454814.9114864245,1.3130521279710154,4.831490635252427,6144.542763223442,DSA
gasfield,"South China Continental Shelf,Pearl River Mouth Basin",967897.3267695748,2625243.0137074436,970349.5849568723,2624450.947497498,839244.9508649193,2799878.6426692083,2.5770019592746842,216.9078991848474,219484.9011441221,DSA
gasfield,Subei Yellow Sea Basin,1344968.7603938594,4137047.222645275,1342611.4823027486,4137880.464014911,1345326.2737205003,4136740.496841158,2.5002102269417428,0.4710589110048948,2971.269137946638,DSA
gasfield,"Taihangshang Yanshan Fold Bel,Bohaiwan Basin",1332868.0617076834,5136007.233179778,1347744.4581191845,5083785.118986104,1333802.3195517806,5130354.498966802,54.29969043235209,5.729418975935168,60029.10940828726,EOR
gasfield,"Taiwan Thrust and Fold Belt,East China Sea Basin",1634665.1271324514,3259884.837488327,1689525.3321430017,3366687.784244553,1635469.3224645823,3261808.5720924097,120.06877832980919,2.0850623393955616,122153.84066920476,DSA
gasfield,Taixinan Basin,1576108.5363229904,3048475.257178945,1382997.6184159606,2971391.6790468413,1596003.4938063761,3077836.8975084946,207.9271618441029,35.467101038956585,243394.26288305948,DSA
gasfield,"Taixinan Basin,Taiwan Thrust and Fold Belt",1604488.7243715224,3135511.080446378,1700025.5099300663,3362080.2229734836,1607088.4564862112,3131710.579459733,245.88788855965876,4.6046079982593,250492.49655791806,DSA
gasfield,"Taixinan Basin,Taixinan Basin",1604545.9080969237,3070207.415302521,1377194.5783516876,2986661.527226909,1604623.7949283943,3070723.9803157295,242.21590069867372,0.5224038393690661,242738.30453804278,DSA
gasfield,Tarim Basin,-1852761.816939924,5110861.102192145,-1853726.928572133,5112222.920564803,-1871150.211639016,5140947.438325235,1.6691284380584117,35.26075270783174,36929.881145890155,DSA
gasfield,"Tarim Basin,Tarim Basin",-1755158.4657987515,4886047.570993983,-1754691.034747047,4891135.193025669,-1767233.2760841073,4939979.609647606,5.109049786936253,55.26722208292322,60376.27186985947,DSA
