scenario,year,province,cum_stored_mt,cum_stored_gt
EOR,2025,Beijing,44.62170559,0.04462170559
EOR,2025,Chongqing,5.55349072,0.00555349072
EOR,2025,Gansu,84.27108009,0.08427108008999999
EOR,2025,Hainan,217.36186026000001,0.21736186026
EOR,2025,Heilongjiang,0.46326299,0.00046326299
EOR,2025,Henan,40.96881483,0.04096881483
EOR,2025,Hubei,32.30929543,0.032309295429999996
EOR,2025,Inner Mongolia,2620.37,2.62037
EOR,2025,Jiangsu,68.55659342999999,0.06855659342999999
EOR,2025,Ningxia,6.97477777,0.00697477777
EOR,2025,Shaanxi,0.08534782,8.534782000000001e-05
EOR,2025,Shandong,97.61648936,0.09761648936
EOR,2025,Sichuan,0.01780285,1.780285e-05
EOR,2025,Tianjin,233.14474442,0.23314474442
EOR,2030,Beijing,44.62170559,0.04462170559
EOR,2030,Chongqing,5.91281338,0.0059128133800000005
EOR,2030,Gansu,91.92940371,0.09192940371
EOR,2030,Hainan,217.36186026000001,0.21736186026
EOR,2030,Heilongjiang,0.46326299,0.00046326299
EOR,2030,Henan,40.96881483,0.04096881483
EOR,2030,Hubei,32.72908416,0.03272908416
EOR,2030,Inner Mongolia,2620.37,2.62037
EOR,2030,Jiangsu,68.55659342999999,0.06855659342999999
EOR,2030,Ningxia,8.26463397,0.00826463397
EOR,2030,Shaanxi,0.17069564,0.00017069564000000002
EOR,2030,Shandong,97.61648936,0.09761648936
EOR,2030,Sichuan,0.028766019999999996,2.8766019999999997e-05
EOR,2030,Tianjin,233.14474442,0.23314474442
EOR,2035,Beijing,44.62170559,0.04462170559
EOR,2035,Chongqing,6.20091207,0.00620091207
EOR,2035,Gansu,99.14590164,0.09914590164
EOR,2035,Hainan,217.36186026000001,0.21736186026
EOR,2035,Heilongjiang,0.46326299,0.00046326299
EOR,2035,Henan,40.96881483,0.04096881483
EOR,2035,Hubei,32.7425906,0.0327425906
EOR,2035,Inner Mongolia,2620.37,2.62037
EOR,2035,Jiangsu,68.55659342999999,0.06855659342999999
EOR,2035,Ningxia,9.554490170000001,0.00955449017
EOR,2035,Shaanxi,0.25604346,0.00025604346
EOR,2035,Shandong,97.61648936,0.09761648936
EOR,2035,Sichuan,0.03972919,3.972919e-05
EOR,2035,Tianjin,233.14474442,0.23314474442
EOR,2040,Beijing,44.62170559,0.04462170559
EOR,2040,Chongqing,6.481231370000001,0.006481231370000001
EOR,2040,Gansu,105.06531086000001,0.10506531086000001
EOR,2040,Hainan,217.36186026000001,0.21736186026
EOR,2040,Heilongjiang,0.46326299,0.00046326299
EOR,2040,Henan,40.96881483,0.04096881483
EOR,2040,Hubei,32.75609704,0.03275609704
EOR,2040,Inner Mongolia,2620.37,2.62037
EOR,2040,Jiangsu,68.55659342999999,0.06855659342999999
EOR,2040,Ningxia,10.84434637,0.01084434637
EOR,2040,Shaanxi,0.29871737,0.00029871737
EOR,2040,Shandong,97.61648936,0.09761648936
EOR,2040,Sichuan,0.05069236,5.069236e-05
EOR,2040,Tianjin,233.14474442,0.23314474442
EOR,2045,Beijing,44.62170559,0.04462170559
EOR,2045,Chongqing,6.748521820000001,0.006748521820000001
EOR,2045,Gansu,110.98472008000002,0.11098472008000002
EOR,2045,Hainan,217.36186026000001,0.21736186026
EOR,2045,Heilongjiang,0.46326299,0.00046326299
EOR,2045,Henan,40.96881483,0.04096881483
EOR,2045,Hubei,32.76960348,0.03276960348
EOR,2045,Inner Mongolia,2620.37,2.62037
EOR,2045,Jiangsu,68.55659342999999,0.06855659342999999
EOR,2045,Ningxia,12.13420257,0.012134202569999999
EOR,2045,Shaanxi,0.29871737,0.00029871737
EOR,2045,Shandong,97.61648936,0.09761648936
EOR,2045,Sichuan,0.06165553,6.165553e-05
EOR,2045,Tianjin,233.14474442,0.23314474442
EOR,2050,Beijing,44.62170559,0.04462170559
EOR,2050,Chongqing,6.981068670000001,0.006981068670000001
EOR,2050,Gansu,112.01637002000001,0.11201637002
EOR,2050,Hainan,217.36186026000001,0.21736186026
EOR,2050,Heilongjiang,0.46326299,0.00046326299
EOR,2050,Henan,40.96881483,0.04096881483
EOR,2050,Hubei,32.78310992,0.032783109920000005
EOR,2050,Inner Mongolia,2620.37,2.62037
EOR,2050,Jiangsu,68.55659342999999,0.06855659342999999
EOR,2050,Ningxia,13.424058769999998,0.013424058769999999
EOR,2050,Shaanxi,0.29871737,0.00029871737
EOR,2050,Shandong,97.61648936,0.09761648936
EOR,2050,Sichuan,0.0726187,7.26187e-05
EOR,2050,Tianjin,233.14474442,0.23314474442
