scenario,year,source,sink,flow_mt,flow_gt,flow_type,unalloc_mt,unalloc_gt
DSA,2025,Anhui,Henan,4378.58,4.37858,corridor,57255.16439571,57.255164395710004
DSA,2025,Tianjin,Tianjin,4269.97,4.26997,hub,57255.16439571,57.255164395710004
DSA,2025,Henan,Henan,4209.61,4.20961,hub,57255.16439571,57.255164395710004
DSA,2025,Xinjiang,Xinjiang,3630.85,3.6308499999999997,hub,57255.16439571,57.255164395710004
DSA,2025,Jiangsu,Jiangsu,3148.21,3.14821,hub,57255.16439571,57.255164395710004
DSA,2025,Hebei,Beijing,2785.88,2.78588,corridor,57255.16439571,57.255164395710004
DSA,2025,Beijing,Inner Mongolia,1971.05,1.97105,corridor,57255.16439571,57.255164395710004
DSA,2025,Zhejiang,Zhejiang,1905.87128355,1.90587128355,hub,57255.16439571,57.255164395710004
DSA,2025,Qinghai,Qinghai,1320.22,1.32022,hub,57255.16439571,57.255164395710004
DSA,2025,Hainan,Hainan,963.445,0.963445,hub,57255.16439571,57.255164395710004
DSA,2025,Fujian,Fujian,177.16866489,0.17716866489,hub,57255.16439571,57.255164395710004
DSA,2025,Shaanxi,Shaanxi,100.14754368,0.10014754367999999,hub,57255.16439571,57.255164395710004
DSA,2025,Shaanxi,Gansu,96.65165762,0.09665165762,corridor,57255.16439571,57.255164395710004
DSA,2025,Hubei,Hubei,53.00507423,0.05300507423,hub,57255.16439571,57.255164395710004
DSA,2025,Chongqing,Chongqing,52.696761,0.052696761,hub,57255.16439571,57.255164395710004
DSA,2025,Shanxi,Shanxi,40.70689143,0.040706891429999996,hub,57255.16439571,57.255164395710004
DSA,2025,Sichuan,Sichuan,36.797013,0.036797012999999996,hub,57255.16439571,57.255164395710004
DSA,2025,Ningxia,Ningxia,20.71804889,0.02071804889,hub,57255.16439571,57.255164395710004
DSA,2025,Shanxi,Hebei,0.311666,0.000311666,corridor,57255.16439571,57.255164395710004
DSA,2030,Henan,Henan,4483.425,4.483425,hub,69060.65533933,69.06065533933
DSA,2030,Xinjiang,Xinjiang,3006.386,3.006386,hub,69060.65533933,69.06065533933
DSA,2030,Zhejiang,Zhejiang,1835.53370952,1.83553370952,hub,69060.65533933,69.06065533933
DSA,2030,Anhui,Henan,1830.8842570100003,1.8308842570100003,corridor,69060.65533933,69.06065533933
DSA,2030,Anhui,Jiangsu,952.79429953,0.9527942995299999,corridor,69060.65533933,69.06065533933
DSA,2030,Shaanxi,Gansu,96.65165762,0.09665165762,corridor,69060.65533933,69.06065533933
DSA,2030,Hubei,Hubei,53.00507423,0.05300507423,hub,69060.65533933,69.06065533933
DSA,2030,Chongqing,Chongqing,52.696761,0.052696761,hub,69060.65533933,69.06065533933
DSA,2030,Sichuan,Sichuan,36.797013,0.036797012999999996,hub,69060.65533933,69.06065533933
DSA,2030,Shanxi,Shanxi,30.332211870000002,0.03033221187,hub,69060.65533933,69.06065533933
DSA,2030,Shaanxi,Shaanxi,24.873862,0.024873862,hub,69060.65533933,69.06065533933
DSA,2030,Ningxia,Ningxia,20.71804889,0.02071804889,hub,69060.65533933,69.06065533933
DSA,2030,Shanxi,Hebei,0.311666,0.000311666,corridor,69060.65533933,69.06065533933
DSA,2035,Xinjiang,Xinjiang,2519.751,2.5197510000000003,hub,55860.961893800006,55.8609618938
DSA,2035,Anhui,Jiangsu,368.93989074999996,0.36893989074999994,corridor,55860.961893800006,55.8609618938
DSA,2035,Shaanxi,Gansu,96.65165762,0.09665165762,corridor,55860.961893800006,55.8609618938
DSA,2035,Hubei,Hubei,53.00507423,0.05300507423,hub,55860.961893800006,55.8609618938
DSA,2035,Chongqing,Chongqing,52.696761,0.052696761,hub,55860.961893800006,55.8609618938
DSA,2035,Sichuan,Sichuan,36.797013,0.036797012999999996,hub,55860.961893800006,55.8609618938
DSA,2035,Shanxi,Shanxi,30.332211870000002,0.03033221187,hub,55860.961893800006,55.8609618938
DSA,2035,Shaanxi,Shaanxi,24.513387,0.024513387,hub,55860.961893800006,55.8609618938
