scenario,year,source,sink,flow_mt,flow_gt,flow_type,unalloc_mt,unalloc_gt
EOR,2025,Liaoning,Inner Mongolia,2620.37,2.62037,corridor,82964.73873444,82.96473873444
EOR,2025,Tianjin,Tianjin,233.14474442,0.23314474442,hub,82964.73873444,82.96473873444
EOR,2025,Hainan,Hainan,217.36186026000001,0.21736186026,hub,82964.73873444,82.96473873444
EOR,2025,Henan,Shandong,97.61648936,0.09761648936,corridor,82964.73873444,82.96473873444
EOR,2025,Shaanxi,Gansu,84.27108009,0.08427108008999999,corridor,82964.73873444,82.96473873444
EOR,2025,Jiangsu,Jiangsu,68.55659342999999,0.06855659342999999,hub,82964.73873444,82.96473873444
EOR,2025,Hebei,Beijing,44.62170559,0.04462170559,corridor,82964.73873444,82.96473873444
EOR,2025,Henan,Henan,40.96881483,0.04096881483,hub,82964.73873444,82.96473873444
EOR,2025,Hubei,Hubei,32.30929543,0.032309295429999996,hub,82964.73873444,82.96473873444
EOR,2025,Ningxia,Ningxia,6.97477777,0.00697477777,hub,82964.73873444,82.96473873444
EOR,2025,Chongqing,Chongqing,5.55349072,0.00555349072,hub,82964.73873444,82.96473873444
EOR,2025,Jilin,Heilongjiang,0.46326299,0.00046326299,corridor,82964.73873444,82.96473873444
EOR,2025,Shaanxi,Shaanxi,0.08534782,8.534782000000001e-05,hub,82964.73873444,82.96473873444
EOR,2025,Sichuan,Sichuan,0.01780285,1.780285e-05,hub,82964.73873444,82.96473873444
EOR,2030,Shaanxi,Gansu,7.658323620000001,0.007658323620000001,corridor,81475.2412978,81.47524129780001
EOR,2030,Ningxia,Ningxia,1.2898562,0.0012898562,hub,81475.2412978,81.47524129780001
EOR,2030,Hubei,Hubei,0.41978873,0.00041978873,hub,81475.2412978,81.47524129780001
EOR,2030,Chongqing,Chongqing,0.35932266,0.00035932266,hub,81475.2412978,81.47524129780001
EOR,2030,Shaanxi,Shaanxi,0.08534782,8.534782000000001e-05,hub,81475.2412978,81.47524129780001
EOR,2030,Sichuan,Sichuan,0.01096317,1.096317e-05,hub,81475.2412978,81.47524129780001
EOR,2035,Shaanxi,Gansu,7.21649793,0.00721649793,corridor,59079.17742975,59.079177429750004
EOR,2035,Ningxia,Ningxia,1.2898562,0.0012898562,hub,59079.17742975,59.079177429750004
EOR,2035,Chongqing,Chongqing,0.28809869,0.00028809869,hub,59079.17742975,59.079177429750004
EOR,2035,Shaanxi,Shaanxi,0.08534782,8.534782000000001e-05,hub,59079.17742975,59.079177429750004
EOR,2035,Hubei,Hubei,0.01350644,1.350644e-05,hub,59079.17742975,59.079177429750004
EOR,2035,Sichuan,Sichuan,0.01096317,1.096317e-05,hub,59079.17742975,59.079177429750004
EOR,2040,Shaanxi,Gansu,5.91940922,0.0059194092200000005,corridor,37241.637471760005,37.24163747176001
EOR,2040,Ningxia,Ningxia,1.2898562,0.0012898562,hub,37241.637471760005,37.24163747176001
EOR,2040,Chongqing,Chongqing,0.2803193,0.0002803193,hub,37241.637471760005,37.24163747176001
EOR,2040,Shaanxi,Shaanxi,0.04267391,4.2673910000000006e-05,hub,37241.637471760005,37.24163747176001
EOR,2040,Hubei,Hubei,0.01350644,1.350644e-05,hub,37241.637471760005,37.24163747176001
EOR,2040,Sichuan,Sichuan,0.01096317,1.096317e-05,hub,37241.637471760005,37.24163747176001
EOR,2045,Shaanxi,Gansu,5.91940922,0.0059194092200000005,corridor,19539.98681452,19.539986814520002
EOR,2045,Ningxia,Ningxia,1.2898562,0.0012898562,hub,19539.98681452,19.539986814520002
EOR,2045,Chongqing,Chongqing,0.26729045,0.00026729045,hub,19539.98681452,19.539986814520002
EOR,2045,Hubei,Hubei,0.01350644,1.350644e-05,hub,19539.98681452,19.539986814520002
EOR,2045,Sichuan,Sichuan,0.01096317,1.096317e-05,hub,19539.98681452,19.539986814520002
EOR,2050,Ningxia,Ningxia,1.2898562,0.0012898562,hub,13416.982987399999,13.416982987399999
EOR,2050,Shaanxi,Gansu,1.03164994,0.00103164994,corridor,13416.982987399999,13.416982987399999
EOR,2050,Chongqing,Chongqing,0.23254685,0.00023254685,hub,13416.982987399999,13.416982987399999
EOR,2050,Hubei,Hubei,0.01350644,1.350644e-05,hub,13416.982987399999,13.416982987399999
EOR,2050,Sichuan,Sichuan,0.01096317,1.096317e-05,hub,13416.982987399999,13.416982987399999
