gate,facility,gas_x,gas_y,sink_x,sink_y,consumer_x,consumer_y,d_gas_km,d_h2_km,d_total_weighted,storage_type,storage_potential
sink,Songliao Basin,1461122.453710126,5563496.817884643,1414276.5348904622,5808546.174542374,1417731.1741739847,5815912.212986203,249.48692813136833,8.135911438506605,257622.83956987492,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1419060.2470088606,5808824.57898179,1417731.1741739847,5815912.212986203,248.90749204778646,7.211171221162249,256118.6632689487,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1423844.0629655172,5809103.742629886,1428550.9849580002,5807682.822758094,248.41988627990958,4.916719223768245,253336.60550367783,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1428627.9867568773,5809383.666409014,1429132.2442762917,5807834.3896015175,248.02466139443237,1.6292741549941747,249653.93554942653,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1433412.0156703212,5809664.348390569,1429132.2442762917,5807834.3896015175,247.72226676611862,4.654588312061553,252376.85507818018,DSA,43.93909836
sink,Songliao Basin,1461122.453710126,5563496.817884643,1438196.153149353,5809945.791561407,1441462.3658114572,5812906.798214906,247.5130539663179,4.408594510289344,251921.64847660725,DSA,43.93909836
sink,Songliao Basin,1461122.453710126,5563496.817884643,1442980.3897687527,5810227.991106956,1442043.0709148867,5813059.734625971,247.39726417992625,2.9828405909961817,250380.10477092242,DSA,52.60850143
sink,Songliao Basin,1461122.453710126,5563496.817884643,1447764.7364747468,5810510.949768073,1450252.518221113,5807859.125582561,247.37503908006775,3.6361008688454595,251011.1399489132,DSA,52.60850143
sink,Songliao Basin,1461122.453710126,5563496.817884643,1452549.1899887624,5810794.6676522875,1450833.7587156836,5808012.994452629,247.4464130888478,3.268089693131727,250714.50278197954,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1457333.7545438367,5811079.144638928,1456204.1463954924,5815888.116085904,247.61131388213707,4.939860417728114,252551.17429986518,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1462118.4201528074,5811364.377925682,1456204.1463954924,5815888.116085904,247.86956099903261,7.445994964993747,255315.55596402634,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1466903.2047051336,5811650.372137816,1474059.642526159,5804993.894999403,248.2208765808162,9.773601699497508,257994.47828031372,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1471688.0839843047,5811937.121748501,1474059.642526159,5804993.894999403,248.66486910510127,7.337076230137205,256001.94533523847,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1476473.083389992,5812224.631200601,1474641.1868210724,5805150.289267435,249.2010572780677,7.307678073545565,256508.7353516133,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1481258.1853866994,5812512.897832009,1474641.1868210724,5805150.289267435,249.82885294237758,9.899124955906585,259727.97789828418,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1390633.6962152743,5802382.022559605,1390442.0549870369,5801563.789321705,249.06787417442357,0.8403761014952792,249908.25027591886,DSA,25.30699921
sink,Songliao Basin,1461122.453710126,5563496.817884643,1395417.6542551545,5802656.5262227645,1393427.0830243344,5799564.840869351,248.02114176778065,3.6770765765045863,251698.21834428524,DSA,31.1522007
sink,Songliao Basin,1461122.453710126,5563496.817884643,1400201.7143286697,5802931.789398805,1401150.5407650226,5796017.281557822,247.0636397181325,6.979304427329806,254042.9441454623,DSA,33.92990112
sink,Songliao Basin,1461122.453710126,5563496.817884643,1404985.873477802,5803207.811231483,1408581.9828582937,5796080.135415361,246.19641746278316,7.983468244828458,254179.88570761163,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1409770.1357196132,5803484.59264229,1409164.473064042,5796229.584077663,245.4204404611112,7.280245636320371,252700.6860974316,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1414554.5053312262,5803762.133525532,1409164.473064042,5796229.584077663,244.73658434373058,9.262383549922665,253998.96789365326,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1419338.9790709,5804040.434046299,1428775.6339274477,5806821.106067897,244.14563282814052,9.837814379896653,253983.44720803716,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1424123.554225277,5804319.492283328,1428775.6339274477,5806821.106067897,243.6482691660776,5.282037209495225,248930.30637557284,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1428908.2345191091,5804599.310186411,1428775.6339274477,5806821.106067897,243.24507746758468,2.225749279657343,245470.82674724204,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1433693.0242075424,5804879.887644202,1429356.9846525618,5806972.696746196,242.9365348591803,4.8146743357928035,247751.2091949731,DSA,43.93909836
sink,Songliao Basin,1461122.453710126,5563496.817884643,1438477.9202926303,5805161.223756259,1441462.3658114572,5812906.798214906,242.7230107735514,8.300652911023562,251023.66368457497,DSA,43.93909836
sink,Songliao Basin,1461122.453710126,5563496.817884643,1443262.9194989037,5805443.318638557,1450480.359826034,5806998.268119795,242.6047653886987,7.383042243200992,249987.8076318997,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1448048.0263384685,5805726.17113296,1450480.359826034,5806998.268119795,242.58194538381258,2.744900169158517,245326.84555297112,DSA,52.60850143
sink,Songliao Basin,1461122.453710126,5563496.817884643,1452833.2375247225,5806009.781339969,1451061.6916362655,5807152.161163398,242.65458691080332,2.1079389212896267,244762.52583209294,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1457618.5570137915,5806294.150164859,1451061.6916362655,5807152.161163398,242.82261396840403,6.6127654164209515,249435.37938482498,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1462403.9820537749,5806579.275626239,1467648.173313304,5798665.191775002,243.08583582058156,9.493906739111416,252579.74255969297,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1467189.516314308,5806865.159658631,1474059.642526159,5804993.894999403,243.44395459009456,7.120411897611155,250564.36648770573,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1471975.1637319033,5807151.803170884,1474059.642526159,5804993.894999403,243.89656243919325,3.000269907899683,246896.83234709295,DSA,56.47480011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1476760.9145631695,5807439.20228772,1474641.1868210724,5805150.289267435,244.44313933123738,3.1196744245266363,247562.81375576401,DSA,56.47480011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1481546.7794318115,5807727.360813997,1474641.1868210724,5805150.289267435,245.08306995945802,7.370787411233279,252453.85737069132,DSA,56.47480011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1486332.748584891,5808016.274846646,1496838.6914683448,5813015.648495113,245.8156296915752,11.634800073373635,257450.4297649488,DSA,56.47480011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1491118.832911554,5808305.94716724,1496838.6914683448,5813015.648495113,246.64000597084686,7.409323080245314,254049.32905109218,DSA,56.47480011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1495905.0223704225,5808596.374876341,1496838.6914683448,5813015.648495113,247.55528659298503,4.516826020779024,252072.11261376407,DSA,54.78559875
sink,Songliao Basin,1461122.453710126,5563496.817884643,1500691.3205812115,5808887.559883993,1503932.9694294753,5812189.954841497,248.56047852475155,4.627537110688502,253188.01563544007,DSA,52.00790024
sink,Songliao Basin,1461122.453710126,5563496.817884643,1505477.738692925,5809179.503962019,1505911.3926474184,5811810.244113534,249.65450835925276,2.666242580306075,252320.75093955884,DSA,50.31869888
sink,Songliao Basin,1461122.453710126,5563496.817884643,1371769.926299816,5796507.731811073,1365037.4441640987,5794269.60230389,249.55552521120504,7.094754357881329,256650.27956908636,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1376554.2343493195,5796779.09319023,1371249.12859653,5804078.305324693,248.13787235649772,9.023449719046926,257161.32207554462,DSA,22.5291996
sink,Songliao Basin,1461122.453710126,5563496.817884643,1381338.646351457,5797051.216233469,1386222.3511369126,5798658.978819926,246.8058202407862,5.141543830980517,251947.36407176673,DSA,22.5291996
sink,Songliao Basin,1461122.453710126,5563496.817884643,1386123.1598807627,5797324.098052733,1386222.3511369126,5798658.978819926,245.56076849877635,1.3385610064244482,246899.32950520082,DSA,22.5291996
sink,Songliao Basin,1461122.453710126,5563496.817884643,1390907.7717258227,5797597.738852711,1389351.79967054,5798531.682499121,244.40405635802125,1.8147450982133444,246218.8014562346,DSA,31.1522007
sink,Songliao Basin,1461122.453710126,5563496.817884643,1395692.4859173396,5797872.139561435,1393646.2438005065,5798701.708669299,243.3369517694858,2.2080062738642723,245544.95804335008,DSA,31.1522007
sink,Songliao Basin,1461122.453710126,5563496.817884643,1400477.2997559966,5798147.298296412,1401150.5407650226,5796017.281557822,242.36064584745282,2.2338810986512594,244594.52694610407,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1405262.2239843798,5798423.218807292,1408581.9828582937,5796080.135415361,241.47624958882105,4.063353142722467,245539.60273154353,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1410047.248905236,5798699.897420131,1409164.473064042,5796229.584077663,240.68478383320908,2.6233073010553993,243308.09113426448,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1414832.3715402281,5798977.3332564505,1409164.473064042,5796229.584077663,239.9871763804644,6.298825182991062,246286.00156345547,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1419617.6028774534,5799255.529035048,1421070.5008004508,5791020.466028333,239.38425705535127,8.362247012568726,247746.50406792,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1424402.9399255647,5799534.48388027,1430530.8688387023,5795315.46240717,238.87675161312384,7.43986928345859,246316.62089658243,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1429188.3796877526,5799814.196899582,1430530.8688387023,5795315.46240717,238.46527778307012,4.694772534812925,243160.05031788303,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1433973.9264168174,5800094.667974985,1431113.4400349718,5795467.239339776,238.15034159448047,5.4401726180953895,243590.51421257586,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1438759.5768355269,5800375.897232673,1439719.3936877337,5795875.882573681,237.93233595894236,4.601236825129165,242533.57278407153,DSA,43.93909836
sink,Songliao Basin,1461122.453710126,5563496.817884643,1443545.3349138217,5800657.8855850585,1440301.9054476814,5796028.634208285,237.81153701614357,5.652415679263469,243463.95269540706,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1448331.19790372,5800940.631075132,1450480.359826034,5806998.268119795,237.7881003068589,6.427586135805908,244215.6864426648,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1453117.1697650452,5801224.134612434,1453796.8236063288,5796822.399914967,237.8620644189334,4.453896910667557,242315.96132960095,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1457903.247193216,5801508.39629075,1453796.8236063288,5796822.399914967,238.03334797033216,6.230672251755751,244264.02022208791,DSA,49.49449921
sink,Songliao Basin,1461122.453710126,5563496.817884643,1462689.4344081196,5801793.415982777,1467648.173313304,5798665.191775002,238.30175008516363,5.863009314669681,244164.7593998333,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1467475.7283676623,5802079.1927336855,1468230.3890352964,5798820.905987786,238.66695139353354,3.344539615818203,242011.49100935174,DSA,55.38629913
sink,Songliao Basin,1461122.453710126,5563496.817884643,1472262.1260243233,5802365.725571517,1474290.852919627,5804133.968810909,239.12851640653014,2.6911739017361844,241819.69030826632,DSA,56.47480011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1477048.6385662286,5802653.0162357045,1474872.4884313955,5804290.387609822,239.68589982267045,2.7233461818344806,242409.24600450494,DSA,53.69710159
sink,Songliao Basin,1461122.453710126,5563496.817884643,1481835.255396685,5802941.063934068,1474872.4884313955,5804290.387609822,240.33844286731278,7.092305562712116,247430.7484300249,DSA,53.69710159
sink,Songliao Basin,1461122.453710126,5563496.817884643,1486621.9876895447,5803229.870414075,1488833.137290483,5794224.939577291,241.08538468403123,9.27243020642406,250357.81489045528,DSA,53.69710159
sink,Songliao Basin,1461122.453710126,5563496.817884643,1491408.825672179,5803519.431760307,1489415.8238378314,5794382.901029893,241.92585537377002,9.351376909285394,251277.23228305543,DSA,53.69710159
sink,Songliao Basin,1461122.453710126,5563496.817884643,1496195.7729691556,5803809.749887437,1496838.6914683448,5813015.648495113,242.85889526971275,9.228321265073571,252087.21653478633,DSA,54.78559875
sink,Songliao Basin,1461122.453710126,5563496.817884643,1500982.8337589735,5804100.824655054,1503932.9694294753,5812189.954841497,243.88345161493592,8.610303574647855,252493.75518958375,DSA,52.00790024
sink,Songliao Basin,1461122.453710126,5563496.817884643,1505770.0043883305,5804392.657105173,1507890.2089877573,5811431.241195195,244.99838598514572,7.350981807605479,252349.3677927512,DSA,46.45240021
sink,Songliao Basin,1461122.453710126,5563496.817884643,1510557.2826107992,5804685.24310987,1516545.770254307,5802734.998054341,246.20247515218816,6.2980504946418225,252500.52564682998,DSA,47.54100037
sink,Songliao Basin,1461122.453710126,5563496.817884643,1515344.678718698,5804978.58753405,1516545.770254307,5802734.998054341,247.49443379173172,2.5448604343603294,250039.29422609205,DSA,38.62030029
sink,Songliao Basin,1461122.453710126,5563496.817884643,1520132.1826253533,5805272.687407731,1517127.5539265804,5802895.899124487,248.87289766122407,3.8310463532637042,252703.94401448776,DSA,35.84260178
sink,Songliao Basin,1461122.453710126,5563496.817884643,1357686.2600424155,5790913.869157199,1364669.419377846,5793260.568121541,249.83506833502892,7.366920003180154,257201.98833820908,DSA,9.92286015
sink,Songliao Basin,1461122.453710126,5563496.817884643,1362471.028410923,5791182.85142804,1364669.419377846,5793260.568121541,248.13914158046376,3.02486850985315,251164.0100903169,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1367255.8932223832,5791452.592822716,1365252.2089840628,5793405.358714304,246.52538714180423,2.797864391682417,249323.25153348665,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1372040.8587925043,5791723.093241715,1369089.1111724568,5787936.164489476,244.99543529712835,4.801420975814313,249796.85627294268,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1376825.928654494,5791994.35570386,1369089.1111724568,5787936.164489476,243.5508754365282,8.73654741204196,252287.42284857016,DSA,22.5291996
sink,Songliao Basin,1461122.453710126,5563496.817884643,1381611.1003752875,5792266.377329821,1386222.3511369126,5798658.978819926,242.19324234560804,7.882194326321026,250075.43667192906,DSA,22.5291996
sink,Songliao Basin,1461122.453710126,5563496.817884643,1386396.3710003966,5792539.157297615,1386222.3511369126,5798658.978819926,240.924014330055,6.122295188720621,247046.30951877564,DSA,23.66110039
sink,Songliao Basin,1461122.453710126,5563496.817884643,1391181.737569895,5792812.69476855,1389351.79967054,5798531.682499121,239.74460403780446,6.004622667405379,245749.22670520985,DSA,31.1522007
sink,Songliao Basin,1461122.453710126,5563496.817884643,1395967.2108428448,5793086.993476804,1400788.0994199566,5795005.802961753,238.65635210807622,5.188718195513671,243845.0703035899,DSA,31.1522007
sink,Songliao Basin,1461122.453710126,5563496.817884643,1400752.7883717762,5793362.05051514,1400788.0994199566,5795005.802961753,237.6605176829698,1.6441316783845685,239304.64936135436,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1405538.4669160512,5793637.866067055,1405024.1197763984,5790573.017387588,236.75827682770287,3.107708224415588,239865.98505211846,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1410324.250484623,5793914.441058551,1409385.8239612726,5795367.038201578,235.95071205667662,1.7293590719274423,237680.07112860406,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1415110.136087209,5794191.77462184,1409385.8239612726,5795367.038201578,235.23880725128964,5.843714041344055,241082.5212926337,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1419896.127987553,5794469.866645115,1421070.5008004508,5791020.466028333,234.62344125489983,3.643832613984171,238267.27386888402,DSA,40.07279968
sink,Songliao Basin,1461122.453710126,5563496.817884643,1424682.2231860121,5794748.716245797,1429589.9500463333,5794150.325679154,234.10538416766167,4.944072633544656,239049.4568012063,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1429468.4253996746,5795028.32537811,1429589.9500463333,5794150.325679154,233.68529365468476,0.8863699628888503,234571.66361757362,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1434254.724893432,5795308.690283637,1431337.9862109227,5794605.542511065,233.3637054832967,3.000296873997578,236364.0023572943,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1439041.1326325475,5795589.813692551,1439719.3936877337,5795875.882573681,233.14103766523158,0.7361205497288623,233877.15821496045,DSA,42.8506012
sink,Songliao Basin,1461122.453710126,5563496.817884643,1443827.6525837495,5795871.696528909,1440527.820845311,5795167.301793465,233.0175838234925,3.3741756690080846,236391.75949250057,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1448614.2747271217,5796154.336036181,1453214.396033437,5796668.216795632,232.99350912397605,4.628735190929536,237622.24431490558,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1453401.0030178127,5796437.733116547,1453214.396033437,5796668.216795632,233.0688541823444,0.29655504201140115,233365.4092243558,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1458187.8346892192,5796721.885790597,1454024.7461701885,5795961.605739926,233.2435300035882,4.231941844205004,237475.4718477932,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1462974.7801249367,5797006.798884796,1467782.6430304875,5798162.302399989,233.51732770790045,4.944768355767013,238462.09606366747,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1467761.830108009,5797292.46648894,1467878.1937692047,5797804.962083655,233.88990278602606,0.5255399473397309,234415.4427333658,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1472548.9880197274,5797578.891563222,1468460.5007402631,5797960.7007011,234.36079643146863,4.1062764704910215,238467.07290195965,DSA,47.80530167
sink,Songliao Basin,1461122.453710126,5563496.817884643,1477336.2577830518,5797866.075009543,1474872.4884313955,5804290.387609822,234.92942797315345,6.880548801095408,241809.97677424885,DSA,47.80530167
sink,Songliao Basin,1461122.453710126,5563496.817884643,1482123.6296179246,5798154.012932155,1488833.137290483,5794224.939577291,235.59509455223534,7.775288459988351,243370.38301222367,DSA,47.80530167
sink,Songliao Basin,1461122.453710126,5563496.817884643,1486911.1144252727,5798442.708104148,1488833.137290483,5794224.939577291,236.3569892186745,4.635055904790726,240992.04512346524,DSA,53.69710159
sink,Songliao Basin,1461122.453710126,5563496.817884643,1491698.709124467,5798732.159532495,1489415.8238378314,5794382.901029893,237.2141929888361,4.911986843873929,242126.17983271,DSA,53.69710159
sink,Songliao Basin,1461122.453710126,5563496.817884643,1496486.4173346097,5799022.369142691,1489415.8238378314,5794382.901029893,238.16568858389576,8.456829001839157,246622.51758573492,DSA,52.00790024
sink,Songliao Basin,1461122.453710126,5563496.817884643,1501274.2295386046,5799313.331952419,1502475.0850757782,5792401.790907936,239.21035389225574,7.015087571137872,246225.44146339362,DSA,49.23020172
sink,Songliao Basin,1461122.453710126,5563496.817884643,1506062.1560475596,5799605.05281248,1502475.0850757782,5792401.790907936,240.34698967725006,8.046990755683417,248393.9804329335,DSA,46.45240021
sink,Songliao Basin,1461122.453710126,5563496.817884643,1510850.1943217148,5799897.52863612,1516783.0747641327,5801876.77880114,241.5743037455293,6.254318632733487,247828.62237826278,DSA,46.45240021
sink,Songliao Basin,1461122.453710126,5563496.817884643,1515638.3406847657,5800190.760440832,1516783.0747641327,5801876.77880114,242.8909310275383,2.0379092285382043,244928.84025607648,DSA,43.67470169
sink,Songliao Basin,1461122.453710126,5563496.817884643,1520426.5995739256,5800484.747041417,1520987.6145005494,5800269.074049498,244.29543647528757,0.6010429163862825,244896.47939167384,DSA,34.7541008
sink,Songliao Basin,1461122.453710126,5563496.817884643,1525214.974567758,5800779.490349895,1521807.5984852181,5799572.414116133,245.78632566141343,3.61486442373404,249401.19008514748,DSA,34.7541008
sink,Songliao Basin,1461122.453710126,5563496.817884643,1530003.4625379504,5801074.989307471,1521807.5984852181,5799572.414116133,247.36204420596434,8.33246180768276,255694.5060136471,DSA,33.66550064
sink,Songliao Basin,1461122.453710126,5563496.817884643,1534792.060350797,5801371.242837865,1546725.2941034676,5804692.927517906,249.02098905396983,12.386914745387479,261407.9037993573,DSA,33.66550064
sink,Songliao Basin,1461122.453710126,5563496.817884643,1348384.053193712,5785593.282970303,1337276.9671585062,5796610.865029879,249.07185058642264,15.644630856397903,264716.4814428205,DSA,9.92286015
sink,Songliao Basin,1461122.453710126,5563496.817884643,1353169.3830441742,5785860.6473330315,1365064.895035263,5784183.400341085,247.18320758732816,12.013174559712734,259196.3821470409,DSA,9.92286015
sink,Songliao Basin,1461122.453710126,5563496.817884643,1357954.8128826425,5786128.7709416775,1365064.895035263,5784183.400341085,245.37430312870663,7.371413364522471,252745.71649322912,DSA,9.92286015
sink,Songliao Basin,1461122.453710126,5563496.817884643,1362740.3397728747,5786397.653013497,1365064.895035263,5784183.400341085,243.6469220899432,3.210369459295632,246857.29154923884,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1367525.9675173366,5786667.295526937,1368720.7748403484,5786926.817658418,242.0028188239275,1.2226676882338796,243225.48651216135,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1372311.6934239853,5786937.696646836,1369304.2362243554,5787072.038025705,240.44370951352292,3.010456180329162,243454.1656938521,DSA,19.75149918
sink,Songliao Basin,1461122.453710126,5563496.817884643,1377097.521540521,5787208.85731179,1369304.2362243554,5787072.038025705,238.97126565920055,7.794486226571069,246765.75188577163,DSA,21.4340992
sink,Songliao Basin,1461122.453710126,5563496.817884643,1381883.4486465112,5787480.777745438,1386222.3511369126,5798658.978819926,237.5871086536344,11.990757027098269,249577.86568073268,DSA,21.4340992
sink,Songliao Basin,1461122.453710126,5563496.817884643,1386669.479558254,5787753.455774325,1388769.5537753298,5798384.33548743,236.2927950607962,10.836323878130232,247129.11893892643,DSA,27.27930069
