Dataset,Scenario group,Statistic,2025,2030,2035,2040,2045,2050
DSA pipeline,Minimum,Minimum,66.48,57.019999999999996,47.14,35.6,32.120000000000005,27.53
DSA pipeline,Minimum,Mean,328.23206942868575,294.97642675335067,237.50514140268055,202.16949872734548,198.68949872734544,170.3038560520104
DSA pipeline,Minimum,Maximum,6532.009975495191,5934.774523177447,4749.343618541958,4150.028166224213,4146.548166224213,3554.1827139064685
DSA pipeline,Minimum,5th percentile,66.48,57.019999999999996,47.14,35.6,32.120000000000005,27.53
DSA pipeline,Minimum,10th percentile,66.48,57.019999999999996,47.14,35.6,32.120000000000005,27.53
DSA pipeline,Minimum,95th percentile,991.0475932228527,897.535993838957,719.5527950711656,623.9611956872699,620.4811956872699,531.8395963033742
DSA pipeline,Average,Minimum,72.75,63.989999999999995,51.67,37.34,37.34,31.36
DSA pipeline,Average,Mean,334.5020694286857,301.94642675335064,242.03514140268055,203.8503503466803,203.85035034668033,174.0831574400117
DSA pipeline,Average,Maximum,6538.279975495191,5941.744523177446,4753.8736185419575,4151.768166224213,4151.768166224213,3558.0127139064684
DSA pipeline,Average,5th percentile,72.75,63.989999999999995,51.67,37.34,37.34,31.36
DSA pipeline,Average,10th percentile,72.75,63.989999999999995,51.67,37.34,37.34,31.36
DSA pipeline,Average,95th percentile,997.3175932228527,904.505993838957,724.0827950711656,625.7011956872699,625.7011956872699,535.6695963033742
DSA pipeline,Maximum,Minimum,79.00999999999999,70.94,56.2,47.43,42.56,35.19
DSA pipeline,Maximum,Mean,340.6691219733547,308.8119290666861,246.4975432533489,213.94035034668028,209.0703503466803,177.9131574400117
DSA pipeline,Maximum,Maximum,6544.539975495191,5948.694523177446,4758.403618541957,4161.858166224213,4156.988166224213,3561.8427139064684
DSA pipeline,Maximum,5th percentile,79.00999999999999,70.94,56.2,47.43,42.56,35.19
DSA pipeline,Maximum,10th percentile,79.00999999999999,70.94,56.2,47.43,42.56,35.19
DSA pipeline,Maximum,95th percentile,1003.5775932228527,911.455993838957,728.6127950711657,635.7911956872698,630.9211956872698,539.4995963033742
