Dataset,Scenario group,Statistic,2025,2030,2035,2040,2045,2050
DSA tank,Minimum,Minimum,71.48,59.519999999999996,52.14,38.1,32.019999999999996,30.03
DSA tank,Minimum,Mean,150.791566579083,126.62978710537791,79.80724840536092,76.55063545054537,57.32138492541998,42.36122916632925
DSA tank,Minimum,Maximum,851.4800000000001,719.5200000000001,652.1400000000001,518.1,452.02,450.03
DSA tank,Minimum,5th percentile,71.48,59.519999999999996,52.14,38.1,32.019999999999996,30.03
DSA tank,Minimum,10th percentile,71.48,59.519999999999996,52.14,38.1,32.019999999999996,30.03
DSA tank,Minimum,95th percentile,466.0683946073895,393.40248774471416,174.92264963963135,441.61510091217883,178.53672409872777,63.37110926393965
DSA tank,Average,Minimum,85.25,76.49,64.17,48.1,42.120000000000005,37.53
DSA tank,Average,Mean,182.86423578964062,168.00334605278806,100.13742292696918,105.77595317581807,81.87931916851713,55.14604166618466
DSA tank,Average,Maximum,1045.25,976.4900000000001,844.1700000000001,768.1000000000001,702.12,637.53
DSA tank,Average,5th percentile,85.25,76.49,64.17,48.1,42.120000000000005,37.53
DSA tank,Average,10th percentile,85.25,76.49,64.17,48.1,42.120000000000005,37.53
DSA tank,Average,95th percentile,570.8972549014024,531.7843014700647,223.78744453152075,653.3726513682683,272.36056644085795,85.16015609134236
DSA tank,Maximum,Minimum,99.00999999999999,90.94,78.7,67.43,62.56,55.19
DSA tank,Maximum,Mean,214.92690500019822,200.7560152633457,125.73432228911356,139.5249414697726,116.77725341161424,79.85245833265854
DSA tank,Maximum,Maximum,1239.0100000000002,1170.9400000000003,1098.7000000000003,967.4300000000001,962.56,895.19
DSA tank,Maximum,5th percentile,99.00999999999999,90.94,78.7,67.43,62.56,55.19
DSA tank,Maximum,10th percentile,99.00999999999999,90.94,78.7,67.43,62.56,55.19
DSA tank,Maximum,95th percentile,675.7161151954155,637.2931617640777,287.4305043873733,824.0208142103353,376.5244087829881,121.8722185278793
