Dataset,Scenario group,Statistic,2025,2030,2035,2040,2045,2050
EOR tank,Minimum,Minimum,71.48,38.989999999999995,27.14,18.1,14.620000000000001,12.53
EOR tank,Minimum,Mean,664.7894884024502,76.22877743080358,37.89672755434783,28.249937794871794,23.420513347169816,18.364878283928583
EOR tank,Minimum,Maximum,851.4800000000001,893.121865625,291.84279699999996,229.8622376,199.9119579,105.7839951
EOR tank,Minimum,5th percentile,71.48,38.989999999999995,27.14,18.1,14.620000000000001,12.53
EOR tank,Minimum,10th percentile,71.49580801269464,38.989999999999995,27.14,18.1,14.620000000000001,12.53
EOR tank,Minimum,95th percentile,851.48,197.99082565625017,65.75587176250006,57.012832800000005,46.60472326875001,35.45507633499999
EOR tank,Average,Minimum,85.25,38.989999999999995,31.669999999999998,19.84,47.34,16.36
EOR tank,Average,Mean,815.4770626491696,76.22877743080358,55.61202272065217,35.06490669230769,47.84288647698115,24.69554040561226
EOR tank,Average,Maximum,1045.25,893.121865625,538.531715425,337.4833564,57.92811188,149.579993
EOR tank,Average,5th percentile,85.25,38.989999999999995,31.669999999999998,19.84,47.34,16.36
EOR tank,Average,10th percentile,85.26945601562416,38.989999999999995,31.669999999999998,19.84,47.34,16.36
EOR tank,Average,95th percentile,1045.25,197.99082565625017,103.30858947375032,78.2092492,49.16769847250001,49.11010904999998
EOR tank,Maximum,Minimum,99.00999999999999,45.94,36.2,29.93,25.06,20.19
EOR tank,Maximum,Mean,966.154636895889,90.62653291696431,67.50879894239131,48.961133365384626,43.918242886792456,31.859756567857158
EOR tank,Maximum,Maximum,1239.0100000000002,1070.89823875,699.019166325,426.9841955,422.1141955,206.6979902
EOR tank,Maximum,5th percentile,99.00999999999999,45.94,36.2,29.93,25.06,20.19
EOR tank,Maximum,10th percentile,99.03310401855367,45.94,36.2,29.93,25.06,20.19
EOR tank,Maximum,95th percentile,1239.01,236.74099078750024,129.88123238875042,102.8915615,93.59869271875,66.04015266999997
